timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2026-01-01 00:00:00+00:00,2971.65,2982.83,2971.15,2979.81,4485.249,13357536.178466,ETH/USD,ETHUSDT,1h,binance
2026-01-01 01:00:00+00:00,2979.81,2988.96,2979.18,2984.32,5567.1123,16614194.098788,ETH/USD,ETHUSDT,1h,binance
2026-01-01 02:00:00+00:00,2984.33,2987.82,2980.9,2982.49,2432.7484,7260230.060145,ETH/USD,ETHUSDT,1h,binance
2026-01-01 03:00:00+00:00,2982.5,2986.18,2979.53,2980.0,1792.594,5346993.215516,ETH/USD,ETHUSDT,1h,binance
2026-01-01 04:00:00+00:00,2979.99,2980.97,2972.99,2975.35,9657.7273,28738126.507735,ETH/USD,ETHUSDT,1h,binance
2026-01-01 05:00:00+00:00,2975.36,2983.79,2975.36,2981.49,3930.8339,11719034.448994,ETH/USD,ETHUSDT,1h,binance
2026-01-01 06:00:00+00:00,2981.49,2981.49,2975.89,2975.89,5734.3199,17079906.256429,ETH/USD,ETHUSDT,1h,binance
2026-01-01 07:00:00+00:00,2975.9,2980.89,2975.89,2978.53,4796.4934,14287092.987027,ETH/USD,ETHUSDT,1h,binance
2026-01-01 08:00:00+00:00,2978.52,2983.0,2977.8,2982.59,4031.4569,12016884.751471,ETH/USD,ETHUSDT,1h,binance
2026-01-01 09:00:00+00:00,2982.59,2987.41,2982.15,2984.0,4401.4657,13136415.94745,ETH/USD,ETHUSDT,1h,binance
2026-01-01 10:00:00+00:00,2984.0,2985.77,2982.14,2985.0,3019.3844,9009541.783488,ETH/USD,ETHUSDT,1h,binance
2026-01-01 11:00:00+00:00,2984.99,2993.2,2984.99,2989.69,7206.3942,21532164.067947,ETH/USD,ETHUSDT,1h,binance
2026-01-01 12:00:00+00:00,2989.7,2990.45,2983.36,2987.69,5019.2102,14992414.023747,ETH/USD,ETHUSDT,1h,binance
2026-01-01 13:00:00+00:00,2987.7,2990.09,2982.02,2982.96,5342.5982,15951787.220727,ETH/USD,ETHUSDT,1h,binance
2026-01-01 14:00:00+00:00,2982.96,2986.45,2977.74,2985.15,7710.2233,22989047.096669,ETH/USD,ETHUSDT,1h,binance
2026-01-01 15:00:00+00:00,2985.16,2994.87,2980.75,2989.87,6148.7542,18372982.256411,ETH/USD,ETHUSDT,1h,binance
2026-01-01 16:00:00+00:00,2989.87,2990.84,2980.75,2982.29,6839.019,20412678.933309,ETH/USD,ETHUSDT,1h,binance
2026-01-01 17:00:00+00:00,2982.28,3005.98,2980.89,2990.44,12755.5547,38187536.171181,ETH/USD,ETHUSDT,1h,binance
2026-01-01 18:00:00+00:00,2990.44,2992.74,2985.15,2990.41,5776.0082,17263290.581974,ETH/USD,ETHUSDT,1h,binance
2026-01-01 19:00:00+00:00,2990.4,2998.04,2987.23,2995.42,3186.6777,9533016.30576,ETH/USD,ETHUSDT,1h,binance
2026-01-01 20:00:00+00:00,2995.42,2997.15,2987.54,2989.08,3766.7199,11267754.657571,ETH/USD,ETHUSDT,1h,binance
2026-01-01 21:00:00+00:00,2989.09,2993.06,2987.66,2989.66,1999.5442,5978738.94267,ETH/USD,ETHUSDT,1h,binance
2026-01-01 22:00:00+00:00,2989.66,3000.26,2987.57,2999.3,5488.851,16435504.290062,ETH/USD,ETHUSDT,1h,binance
2026-01-01 23:00:00+00:00,2999.29,3010.0,2990.98,3004.19,14999.5807,45064796.314617,ETH/USD,ETHUSDT,1h,binance
2026-01-02 00:00:00+00:00,3004.19,3008.48,2995.38,3006.14,6882.9784,20660860.039191,ETH/USD,ETHUSDT,1h,binance
2026-01-02 01:00:00+00:00,3006.15,3008.08,2998.46,3002.98,3264.9972,9805598.805134,ETH/USD,ETHUSDT,1h,binance
2026-01-02 02:00:00+00:00,3002.99,3003.65,2992.49,3002.29,5269.2052,15796691.164281,ETH/USD,ETHUSDT,1h,binance
2026-01-02 03:00:00+00:00,3002.29,3035.0,3000.0,3022.53,24828.426,74995050.408899,ETH/USD,ETHUSDT,1h,binance
2026-01-02 04:00:00+00:00,3022.53,3024.61,3010.5,3011.84,5497.591,16592724.073398,ETH/USD,ETHUSDT,1h,binance
2026-01-02 05:00:00+00:00,3011.83,3018.63,3009.02,3016.56,4120.9885,12420087.018819,ETH/USD,ETHUSDT,1h,binance
2026-01-02 06:00:00+00:00,3016.55,3039.54,3014.49,3026.9,9842.6599,29817389.270857,ETH/USD,ETHUSDT,1h,binance
2026-01-02 07:00:00+00:00,3026.91,3032.41,3016.89,3018.33,6120.3486,18512298.708772,ETH/USD,ETHUSDT,1h,binance
2026-01-02 08:00:00+00:00,3018.32,3033.88,3015.95,3032.28,7279.3968,22031545.226283,ETH/USD,ETHUSDT,1h,binance
2026-01-02 09:00:00+00:00,3032.27,3055.0,3030.15,3048.15,19823.6005,60332957.65024,ETH/USD,ETHUSDT,1h,binance
2026-01-02 10:00:00+00:00,3048.16,3069.71,3045.71,3057.25,28308.3236,86662540.596628,ETH/USD,ETHUSDT,1h,binance
2026-01-02 11:00:00+00:00,3057.25,3057.91,3040.89,3047.82,11735.5628,35781338.474956,ETH/USD,ETHUSDT,1h,binance
2026-01-02 12:00:00+00:00,3047.81,3057.97,3043.2,3048.67,7848.8446,23946767.257454,ETH/USD,ETHUSDT,1h,binance
2026-01-02 13:00:00+00:00,3048.66,3058.42,3046.35,3050.27,7997.0742,24410487.302029,ETH/USD,ETHUSDT,1h,binance
2026-01-02 14:00:00+00:00,3050.28,3109.0,3020.79,3082.85,57032.8876,174967329.810904,ETH/USD,ETHUSDT,1h,binance
2026-01-02 15:00:00+00:00,3082.84,3097.65,3055.13,3086.64,30900.8484,95130405.234038,ETH/USD,ETHUSDT,1h,binance
2026-01-02 16:00:00+00:00,3086.64,3146.97,3079.23,3132.22,50753.0693,158222654.260643,ETH/USD,ETHUSDT,1h,binance
2026-01-02 17:00:00+00:00,3132.21,3150.01,3110.83,3123.0,24779.0727,77651905.064333,ETH/USD,ETHUSDT,1h,binance
2026-01-02 18:00:00+00:00,3122.99,3132.2,3097.13,3110.56,18137.1942,56512552.828006,ETH/USD,ETHUSDT,1h,binance
2026-01-02 19:00:00+00:00,3110.56,3127.87,3107.62,3123.62,9841.9038,30702081.721594,ETH/USD,ETHUSDT,1h,binance
2026-01-02 20:00:00+00:00,3123.63,3129.75,3111.52,3117.99,9535.6153,29763880.663779,ETH/USD,ETHUSDT,1h,binance
2026-01-02 21:00:00+00:00,3117.99,3134.0,3116.31,3130.96,6009.9315,18783736.047349,ETH/USD,ETHUSDT,1h,binance
2026-01-02 22:00:00+00:00,3130.96,3146.0,3128.09,3133.81,9193.264,28838123.64787,ETH/USD,ETHUSDT,1h,binance
2026-01-02 23:00:00+00:00,3133.82,3135.66,3120.3,3125.45,4887.4608,15280071.929282,ETH/USD,ETHUSDT,1h,binance
2026-01-03 00:00:00+00:00,3125.46,3136.71,3122.26,3131.0,5738.4981,17956301.158486,ETH/USD,ETHUSDT,1h,binance
2026-01-03 01:00:00+00:00,3130.99,3131.85,3123.43,3130.81,3732.5659,11678332.450541,ETH/USD,ETHUSDT,1h,binance
2026-01-03 02:00:00+00:00,3130.81,3130.81,3120.17,3126.27,7958.8383,24874473.793325,ETH/USD,ETHUSDT,1h,binance
2026-01-03 03:00:00+00:00,3126.26,3127.35,3119.26,3125.56,4210.0328,13150306.029412,ETH/USD,ETHUSDT,1h,binance
2026-01-03 04:00:00+00:00,3125.56,3127.79,3115.01,3116.61,4789.1019,14939522.915564,ETH/USD,ETHUSDT,1h,binance
2026-01-03 05:00:00+00:00,3116.61,3119.09,3104.89,3112.12,6080.2688,18915509.877229,ETH/USD,ETHUSDT,1h,binance
2026-01-03 06:00:00+00:00,3112.12,3117.76,3098.34,3098.34,7739.6551,24046996.469309,ETH/USD,ETHUSDT,1h,binance
2026-01-03 07:00:00+00:00,3098.33,3105.31,3076.0,3090.5,19239.551,59423456.789728,ETH/USD,ETHUSDT,1h,binance
2026-01-03 08:00:00+00:00,3090.49,3105.72,3083.86,3095.48,8553.1231,26485579.134226,ETH/USD,ETHUSDT,1h,binance
2026-01-03 09:00:00+00:00,3095.48,3110.56,3091.96,3100.9,6393.7838,19835195.460832,ETH/USD,ETHUSDT,1h,binance
2026-01-03 10:00:00+00:00,3100.9,3105.53,3097.05,3097.31,4433.0978,13744731.566545,ETH/USD,ETHUSDT,1h,binance
2026-01-03 11:00:00+00:00,3097.31,3100.22,3091.99,3098.49,4806.4362,14882714.952439,ETH/USD,ETHUSDT,1h,binance
2026-01-03 12:00:00+00:00,3098.5,3105.58,3093.47,3105.04,5980.5075,18542301.879151,ETH/USD,ETHUSDT,1h,binance
2026-01-03 13:00:00+00:00,3105.04,3107.99,3100.89,3103.03,4362.3509,13543594.527326,ETH/USD,ETHUSDT,1h,binance
2026-01-03 14:00:00+00:00,3103.03,3114.61,3101.5,3106.0,7292.9936,22665867.569283,ETH/USD,ETHUSDT,1h,binance
2026-01-03 15:00:00+00:00,3106.0,3107.5,3100.28,3101.31,3961.679,12295713.617781,ETH/USD,ETHUSDT,1h,binance
2026-01-03 16:00:00+00:00,3101.32,3112.17,3098.33,3107.03,4462.8959,13859794.331026,ETH/USD,ETHUSDT,1h,binance
2026-01-03 17:00:00+00:00,3107.04,3110.42,3105.62,3108.46,2523.7452,7844368.325714,ETH/USD,ETHUSDT,1h,binance
2026-01-03 18:00:00+00:00,3108.47,3118.55,3105.08,3116.46,4373.4844,13613881.820001,ETH/USD,ETHUSDT,1h,binance
2026-01-03 19:00:00+00:00,3116.46,3116.46,3110.5,3113.13,2598.1643,8088281.666684,ETH/USD,ETHUSDT,1h,binance
2026-01-03 20:00:00+00:00,3113.13,3116.89,3107.49,3115.65,2462.8997,7664939.615228,ETH/USD,ETHUSDT,1h,binance
2026-01-03 21:00:00+00:00,3115.65,3129.22,3113.04,3120.87,5840.3585,18229895.342685,ETH/USD,ETHUSDT,1h,binance
2026-01-03 22:00:00+00:00,3120.87,3126.2,3113.92,3122.78,3011.8275,9397819.940755,ETH/USD,ETHUSDT,1h,binance
2026-01-03 23:00:00+00:00,3122.78,3131.0,3120.89,3127.11,3859.3665,12067217.278867,ETH/USD,ETHUSDT,1h,binance
2026-01-04 00:00:00+00:00,3127.11,3167.22,3126.35,3157.75,28748.8277,90493346.850684,ETH/USD,ETHUSDT,1h,binance
2026-01-04 01:00:00+00:00,3157.75,3162.33,3141.5,3150.17,8005.1414,25231524.368635,ETH/USD,ETHUSDT,1h,binance
2026-01-04 02:00:00+00:00,3150.17,3151.02,3137.6,3141.12,5606.2176,17624512.768126,ETH/USD,ETHUSDT,1h,binance
2026-01-04 03:00:00+00:00,3141.12,3150.86,3140.01,3147.36,5954.5189,18734398.706015,ETH/USD,ETHUSDT,1h,binance
2026-01-04 04:00:00+00:00,3147.36,3156.0,3144.89,3148.25,5268.2882,16603323.575806,ETH/USD,ETHUSDT,1h,binance
2026-01-04 05:00:00+00:00,3148.26,3152.3,3144.48,3151.36,3956.3575,12457807.29336,ETH/USD,ETHUSDT,1h,binance
2026-01-04 06:00:00+00:00,3151.36,3163.19,3139.37,3140.0,13249.419,41747281.596966,ETH/USD,ETHUSDT,1h,binance
2026-01-04 07:00:00+00:00,3140.0,3145.92,3133.57,3141.29,16690.5703,52414397.804813,ETH/USD,ETHUSDT,1h,binance
2026-01-04 08:00:00+00:00,3141.29,3141.98,3126.0,3138.61,8448.0071,26468774.865226,ETH/USD,ETHUSDT,1h,binance
2026-01-04 09:00:00+00:00,3138.62,3148.0,3134.9,3143.78,8277.8782,25992235.07357,ETH/USD,ETHUSDT,1h,binance
2026-01-04 10:00:00+00:00,3143.79,3148.3,3142.66,3146.34,3424.696,10771949.386279,ETH/USD,ETHUSDT,1h,binance
2026-01-04 11:00:00+00:00,3146.34,3146.34,3135.32,3139.54,5174.8602,16247476.258044,ETH/USD,ETHUSDT,1h,binance
2026-01-04 12:00:00+00:00,3139.55,3147.26,3133.59,3136.8,6044.623,18973395.125617,ETH/USD,ETHUSDT,1h,binance
2026-01-04 13:00:00+00:00,3136.81,3141.51,3131.8,3140.76,4598.3954,14426604.478962,ETH/USD,ETHUSDT,1h,binance
2026-01-04 14:00:00+00:00,3140.75,3143.3,3132.0,3137.26,6524.909,20472347.978745,ETH/USD,ETHUSDT,1h,binance
2026-01-04 15:00:00+00:00,3137.25,3139.6,3118.75,3135.55,8403.1262,26301424.359261,ETH/USD,ETHUSDT,1h,binance
2026-01-04 16:00:00+00:00,3135.55,3139.97,3131.03,3139.11,4753.0312,14904808.748423,ETH/USD,ETHUSDT,1h,binance
2026-01-04 17:00:00+00:00,3139.12,3143.6,3135.68,3137.5,3540.0791,11116306.656709,ETH/USD,ETHUSDT,1h,binance
2026-01-04 18:00:00+00:00,3137.49,3137.88,3123.01,3135.03,5161.1758,16158079.441223,ETH/USD,ETHUSDT,1h,binance
2026-01-04 19:00:00+00:00,3135.04,3135.14,3118.98,3132.72,8602.0733,26912703.347198,ETH/USD,ETHUSDT,1h,binance
2026-01-04 20:00:00+00:00,3132.72,3143.0,3130.85,3142.09,2949.6664,9258627.326417,ETH/USD,ETHUSDT,1h,binance
2026-01-04 21:00:00+00:00,3142.09,3155.85,3137.75,3145.44,7761.9405,24421951.976026,ETH/USD,ETHUSDT,1h,binance
2026-01-04 22:00:00+00:00,3145.44,3150.36,3136.44,3139.37,4235.2201,13303752.846181,ETH/USD,ETHUSDT,1h,binance
2026-01-04 23:00:00+00:00,3139.37,3153.7,3134.67,3144.7,6197.0465,19480554.816268,ETH/USD,ETHUSDT,1h,binance
2026-01-05 00:00:00+00:00,3144.71,3175.32,3143.54,3168.19,22161.7656,70000113.707258,ETH/USD,ETHUSDT,1h,binance
2026-01-05 01:00:00+00:00,3168.2,3220.82,3163.12,3197.91,38618.7853,123376406.918509,ETH/USD,ETHUSDT,1h,binance
2026-01-05 02:00:00+00:00,3197.92,3204.34,3182.95,3193.07,11742.2877,37477076.16728,ETH/USD,ETHUSDT,1h,binance
2026-01-05 03:00:00+00:00,3193.07,3197.51,3184.61,3185.86,6225.2237,19858049.633115,ETH/USD,ETHUSDT,1h,binance
2026-01-05 04:00:00+00:00,3185.86,3188.35,3157.46,3167.11,15516.768,49179335.524399,ETH/USD,ETHUSDT,1h,binance
2026-01-05 05:00:00+00:00,3167.12,3169.63,3148.0,3149.93,10573.3383,33387807.783273,ETH/USD,ETHUSDT,1h,binance
2026-01-05 06:00:00+00:00,3149.93,3159.11,3135.31,3157.68,13428.5685,42295486.941829,ETH/USD,ETHUSDT,1h,binance
2026-01-05 07:00:00+00:00,3157.68,3163.24,3155.31,3157.33,6874.7564,21716551.248215,ETH/USD,ETHUSDT,1h,binance
2026-01-05 08:00:00+00:00,3157.24,3172.01,3155.73,3163.62,7338.4914,23221782.830863,ETH/USD,ETHUSDT,1h,binance
2026-01-05 09:00:00+00:00,3163.62,3175.17,3153.12,3168.18,12375.3924,39155065.250733,ETH/USD,ETHUSDT,1h,binance
2026-01-05 10:00:00+00:00,3168.17,3179.04,3162.52,3173.19,8789.6241,27887141.824577,ETH/USD,ETHUSDT,1h,binance
2026-01-05 11:00:00+00:00,3173.19,3183.64,3168.21,3180.27,6514.3168,20691704.761641,ETH/USD,ETHUSDT,1h,binance
